lat,lon,height,x,y,z
37.6485404,-122.4072335,-28.771029132306573,-2709855.426356625,-4268857.546134343,3874612.9355529
37.6484381,-122.4071595,-29.07508565592766,-2709853.500781402,-4268866.69800188,3874603.759874768
37.648332,-122.4070878,-29.51217299577593,-2709851.828156433,-4268875.86964602,3874594.168989865
37.6482205,-122.4070215,-29.75249155408144,-2709850.8375282264,-4268885.226485106,3874584.223737055
37.6481005,-122.4069656,-30.0407171189785,-2709850.910233852,-4268894.545911429,3874573.5022386685
37.6479715,-122.4069247,-30.381160404622555,-2709852.4053409,-4268903.636096765,3874561.957918983
37.6478348,-122.4068995,-30.68359455358982,-2709855.3660618328,-4268912.449837024,3874549.760128299
37.6476912,-122.4068831,-30.9105541293025,-2709859.2651366577,-4268921.292724967,3874537.002050273
37.6475415,-122.4068683,-31.04637028121948,-2709863.5437005283,-4268930.469973361,3874523.7635551654
37.6473861,-122.4068541,-31.0744650708735,-2709868.1197467595,-4268940.017063057,3874510.089916896
37.647225,-122.4068404,-31.028208219826222,-2709872.971662599,-4268949.9164138185,3874495.9607495163
37.6470589,-122.4068274,-31.01347420194745,-2709878.0439885426,-4268960.047724461,3874481.3728976273
37.6468892,-122.4068141,-31.050784497380256,-2709883.202643077,-4268970.3644421995,3874466.4368564226
37.6467183,-122.4067987,-31.07991563463211,-2709888.2518708776,-4268980.854595561,3874451.4003210347
37.6465492,-122.406782,-31.15945148691535,-2709893.117423951,-4268991.269484238,3874436.4911501002
37.6463839,-122.4067658,-31.263079907566308,-2709897.871920673,-4269001.427098166,3874421.9011777025
37.6462235,-122.4067485,-31.29021679523587,-2709902.3988683107,-4269011.407396895,3874407.78851043
37.6460665,-122.4067278,-31.21506164905429,-2709906.592343306,-4269021.422263292,3874394.0370872784
37.6459103,-122.406704,-31.16017601060868,-2709910.5171487085,-4269031.52438547,3874380.343559867
37.6457513,-122.4066785,-31.0837848764658,-2709914.4261115026,-4269041.881512099,3874366.4170705313
37.6455874,-122.4066512,-31.00040379497409,-2709918.3819121053,-4269052.608856114,3874352.064200217
37.6454178,-122.4066207,-30.96700092288852,-2709922.28512382,-4269063.780333746,3874337.179845903
37.6452421,-122.4065899,-30.96123821145296,-2709926.375830094,-4269075.296605927,3874321.7424951186
37.6450605,-122.4065628,-30.96729948735237,-2709930.9515116406,-4269086.967606614,3874305.7793807886
37.6448751,-122.4065398,-30.95784707918764,-2709935.9772805595,-4269098.672501165,3874289.491749509
37.6446874,-122.4065166,-30.870032602310182,-2709941.10492022,-4269110.570832197,3874273.0498083076
37.6444966,-122.4064923,-30.72785789823532,-2709946.286248225,-4269122.734905846,3874256.3685892867
37.6443024,-122.406469,-30.56285699012876,-2709951.6752513903,-4269135.061484208,3874239.4024653146
37.6441063,-122.4064476,-30.44528853663802,-2709957.254680699,-4269147.375182529,3874222.240348233
37.6439091,-122.4064257,-30.427628418385986,-2709962.7943789246,-4269159.7086483855,3874204.920494309
37.6437083,-122.4063995,-30.459299468636512,-2709968.123486008,-4269172.418499009,3874187.2540837754
37.6435031,-122.4063694,-30.47112476912141,-2709973.3302195035,-4269185.577843034,3874169.213056755
37.6432927,-122.4063407,-30.45613429307938,-2709978.8415055824,-4269198.98644192,3874150.7313592937
37.6430774,-122.4063168,-30.45120599484444,-2709984.884134556,-4269212.441655339,3874131.8128298507
37.6428576,-122.4062948,-30.42398045766354,-2709991.2412228845,-4269226.079384104,3874112.512381897
37.642634,-122.4062684,-30.337000418931247,-2709997.433808058,-4269240.182584754,3874092.914407825
37.6424063,-122.4062369,-30.247979557514192,-2710003.3961325,-4269254.76295045,3874072.957290902
37.6421743,-122.4062054,-30.18360887682438,-2710009.504143691,-4269269.572858591,3874052.6071497295
37.6419386,-122.4061753,-30.136722306251528,-2710015.8434020453,-4269284.516541182,3874031.9210891314
37.6416996,-122.4061435,-30.09359844440221,-2710022.174207095,-4269299.726902906,3874010.9426406794
37.6414579,-122.4061063,-30.03709479045868,-2710028.2063338556,-4269315.35607137,3873989.7350028125
37.6412136,-122.4060638,-29.99022775280476,-2710033.933827455,-4269331.378206103,3873968.2929053246
37.6409664,-122.4060165,-30.01725772064924,-2710039.377566342,-4269347.743864223,3873946.550735387
37.6407165,-122.4059619,-30.138668379694224,-2710044.3353001745,-4269364.546152488,3873924.5135591775
37.6404639,-122.4058987,-30.25741288855672,-2710048.751334542,-4269381.911438869,3873902.240642273
37.6402089,-122.4058265,-30.26147548553348,-2710052.6324919066,-4269399.916362848,3873879.826756813
37.6399524,-122.4057458,-30.25143375399709,-2710055.9406455946,-4269418.418531273,3873857.2895764434
37.6396949,-122.4056579,-30.23572230911255,-2710058.7509150472,-4269437.322203541,3873834.667893004
37.6394387,-122.4055626,-30.177526748895644,-2710060.980466988,-4269456.52983478,3873812.1863322263
37.6391864,-122.4054614,-30.12824772500992,-2710062.624815622,-4269475.787329282,3873790.042017066
37.6389367,-122.4053568,-30.098268590927127,-2710063.9130643513,-4269495.043891656,3873768.1143537876
37.6386873,-122.4052478,-30.06447458410264,-2710064.86404711,-4269514.493893018,3873746.2153140767
37.6384382,-122.4051324,-30.077040398836136,-2710065.3074321854,-4269534.19838776,3873724.31425765
